Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
E632	41.975	-124.416	E632	B9	NA	Line8	day	undersat_arg	benthic	upper100	waySouth	near	shelf	78.4	9.6	9	10.2	8.331	33.885	117.5	2212.7	2252.6	7.4475	61.59365865	40.5	2.19	27.5	0.36	0.54	29.787	0.840277997	41.975	NA	468.5	216	149	0	733000	508000	120000	1000
E635	41.993	-124.327	E635	B5	NA	Line8	day	undersat_arg	benthic	upper100	waySouth	near	shelf	36.4	9.6	5	11.9	9.443	33.759	149.5	2183.2	2254.8	7.5372	73.85526177	29.3	1.98	19.8	0.54	3.83	17.746	1.068056864	41.993	NA	1795	2630	1120	7.62	1200000	709000	289000	1000
E638	41.998	-124.283	E638	B2_5	NA	Line8	day	oversat_arg	benthic	upper100	waySouth	near	shelf	26.1	9.9	2.5	13	10.144	33.447	247.7	2049.6	2252	7.8575	136.1401956	3.1	0.7	1.6	0.23	0.26	9.881	2.180469548	41.998	NA	4965	3760	1640	10.7	2430000	1280000	735000	1000
E655	40.234	-124.412	E655	CM3	NA	Line9	night	undersat_arg	benthic	upper100	waySouth	near	shelf	86.4	9.6	3	4.8	8.373	34.041	91.8	2241.9	2268.6	7.4	56.1945611	43.4	2.48	30	0.31	1.01	9.071	0.76696704	40.234	NA	NA	NA	NA	NA	NA	NA	NA	1000
E658.1B	40.245	-124.385	E658	CM1	NA	Line9	night	undersat_arg	benthic	upper100	waySouth	near	shelf	45.9	10.1	1	6.5	8.179	34.046	84.9	2250.9	2272.4	7.3881	54.30768841	46.9	2.52	30.8	0.32	0.96	8.153	0.744311073	40.245	NA	NA	NA	NA	NA	NA	NA	NA	1000
E658.2T	40.245	-124.385	E658	CM1	NA	Line9	night	undersat_arg	benthic	upper100	waySouth	near	shelf	46	10	1	6.5	8.178	34.046	84.9	2250.9	2272.4	7.3881	54.30768841	46.9	2.52	30.8	0.32	0.96	8.153	0.744311073	40.245	NA	NA	NA	NA	NA	NA	NA	NA	1000
E658.3T	40.245	-124.385	E658	CM1	NA	Line9	night	undersat_arg	benthic	upper100	waySouth	near	shelf	46	10	1	6.5	8.178	34.046	84.9	2250.9	2272.4	7.3881	54.30768841	46.9	2.52	30.8	0.32	0.96	8.153	0.744311073	40.245	NA	NA	NA	NA	NA	NA	NA	NA	1000
E661	40.219	-124.45	E661	CM5	NA	Line9	night	undersat_arg	benthic	deep	waySouth	near	shelf	118.2	9.8	5	9	7.957	34.062	77.3	2255.8	2273.5	7.377	53.68480445	49.2	2.57	31.9	0.29	0.55	17.174	0.71212598	40.219	NA	NA	NA	NA	NA	NA	NA	NA	1000
E675.1B	38.895	-123.791	E675	PA3	NA	Line10	night	undersat_arg	benthic	upper100	waySouth	near	shelf	89.9	10.1	3	0.8	8.708	34.018	85.8	2230.3	2259.7	7.4067	56.91903794	39.7	2.4	29.1	0.25	0.64	5.257	0.780876488	38.895	NA	NA	NA	NA	NA	NA	NA	NA	1000
E685	37.892	-122.996	E685	PR10	NA	Line11	day	undersat_arg	benthic	upper100	waySouth	near	shelf	69.6	10.4	10	12.7	9.327	33.939	89.4	2231.5	2259.9	7.3903	NA	46.2	2.63	27.6	0.39	1.11	8.278	0.782903633	37.892	NA	NA	NA	NA	NA	NA	NA	NA	750
E688	37.97	-122.829	E688	PR1	NA	Line11	day	undersat_arg	benthic	upper100	waySouth	near	shelf	29	10	1	14.6	10.15	33.921	129.9	2212.4	2265.5	7.4654	NA	32.7	2.31	23	0.54	4.06	19.012	0.950157916	37.97	NA	NA	NA	NA	NA	NA	NA	NA	1000
